ebsd_id,mesh_id,confidence
263,1,72.73
7,2,54.17
10,3,100.0
14,4,78.95
16,5,61.9
19,6,100.0
20,7,63.16
21,8,58.82
22,9,64.29
25,10,61.9
26,11,85.0
27,12,75.0
29,13,66.67
31,14,51.85
35,15,36.67
37,16,86.36
38,17,52.38
41,18,50.0
49,19,65.0
51,20,52.63
56,21,68.18
58,22,42.86
59,23,81.25
61,24,65.38
63,25,75.0
64,26,68.75
66,27,73.58
67,28,37.5
70,29,56.52
74,30,48.0
78,31,64.0
82,32,53.66
83,33,58.62
85,34,35.29
88,35,41.67
89,36,75.0
99,37,76.19
101,38,43.33
103,39,45.9
104,40,66.67
109,41,100.0
110,42,54.35
112,43,55.84
114,44,80.0
116,45,52.0
119,46,58.33
120,47,80.77
123,48,51.72
125,49,76.47
128,50,28.12
129,51,55.0
130,52,34.78
134,53,62.5
138,54,65.12
139,55,75.0
141,56,58.82
142,57,47.83
146,58,35.48
148,59,85.71
149,60,62.5
152,61,63.16
155,62,60.71
164,63,65.71
166,64,52.94
167,65,61.54
169,66,81.58
173,67,51.04
176,68,43.75
178,69,79.17
179,70,70.0
180,71,60.87
181,72,100.0
183,73,46.67
185,74,81.25
186,75,50.0
188,76,67.86
189,77,62.5
190,78,55.81
192,79,54.76
195,80,100.0
196,81,62.5
198,82,59.52
203,83,83.33
202,84,40.0
207,85,46.81
208,86,61.29
211,87,61.97
212,88,80.0
213,89,82.61
216,90,65.28
217,91,45.24
219,92,58.54
222,93,57.14
223,94,82.61
230,95,37.74
233,96,63.64
234,97,75.0
237,98,40.0
239,99,70.0
242,100,67.5
243,101,56.67
246,102,75.0
247,103,61.54
248,104,59.09
249,105,67.69
250,106,70.0
252,107,47.37
253,108,66.67
254,109,60.87
255,110,90.91
257,111,50.0
259,112,57.89
262,113,83.33
264,114,85.71
265,115,46.67
269,116,36.59
270,117,68.42
271,118,58.82
274,119,48.78
275,120,62.5
276,121,69.44
277,122,32.14
278,123,53.66
286,124,75.0
287,125,76.19
293,126,55.17
294,127,86.96
299,128,34.38
302,129,83.33
303,130,55.17
312,131,68.0
100001,132,91.64
100002,133,82.78
