average_strain,average_grain_strain,average_grip_strain,average_stress,average_grain_stress,average_grip_stress,average_elastic,average_grain_elastic,average_grip_elastic,g1_stress,g2_stress,g3_stress,g4_stress,g1_elastic,g2_elastic,g3_elastic,g4_elastic,g1_volume,g2_volume,g3_volume,g4_volume,g1_phi_1,g1_Phi,g1_phi_2,g2_phi_1,g2_Phi,g2_phi_2,g3_phi_1,g3_Phi,g3_phi_2,g4_phi_1,g4_Phi,g4_phi_2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2832,2.3562,0.78541,1.1868,0.66322,1.2566,1.9199,1.309,1.3963,4.7124,0.0,1.5708
0.00012205,0.00014769,9.6423e-05,19.745,19.746,19.745,0.00012205,0.00014769,9.6423e-05,20.646,23.096,19.053,16.188,0.00014295,0.00013476,0.00015018,0.00016287,0.2,0.2,0.2,0.2,4.2766e-06,2.3562,0.7854,1.1868,0.66323,1.2566,1.9199,1.309,1.3963,2.6041,1.0586e-06,3.6791
0.00024409,0.00029536,0.00019283,39.488,39.489,39.486,0.00024409,0.00029535,0.00019283,41.29,46.189,38.103,32.375,0.00028587,0.00026951,0.00030033,0.00032571,0.2,0.2,0.2,0.2,4.2242e-06,2.3562,0.7854,1.1868,0.66323,1.2567,1.9199,1.309,1.3963,2.6041,2.117e-06,3.6791
0.00048811,0.00059075,0.00038547,78.938,78.944,78.932,0.00048795,0.00059042,0.00038547,82.528,92.355,76.17,64.721,0.00057135,0.00053886,0.00060037,0.00065112,0.2,0.2,0.2,0.2,9.2751e-06,2.3563,0.7854,1.1868,0.66323,1.2567,1.9199,1.3091,1.3963,2.6054,4.2424e-06,3.6779
0.00097589,0.0011856,0.00076621,156.72,156.74,156.7,0.00096846,0.0011712,0.00076567,163.22,184.05,151.16,128.54,0.0011289,0.0010732,0.0011904,0.0012924,0.2,0.2,0.2,0.2,2.0581e-05,2.3564,0.7854,1.1868,0.66323,1.2567,1.9199,1.3092,1.3963,2.635,8.9564e-06,3.6483
0.0019504,0.0024449,0.0014559,279.87,279.97,279.76,0.001726,0.0020791,0.0013728,282.06,337.23,268.93,231.67,0.0019367,0.0019592,0.0021045,0.0023163,0.2,0.2,0.2,0.2,3.8911e-05,2.3567,0.78541,1.1869,0.66325,1.2568,1.92,1.3093,1.3963,2.845,3.0228e-05,3.4384
0.0038949,0.0050981,0.0026916,365.17,365.53,364.82,0.0022472,0.0026954,0.0017991,356.31,448.15,349.41,308.25,0.002423,0.0025988,0.0027122,0.0030476,0.2,0.2,0.2,0.2,8.5153e-05,2.3575,0.78543,1.1869,0.66328,1.2571,1.92,1.3098,1.3961,3.007,0.00012379,3.2769
0.0077661,0.010272,0.0052606,396.1,396.94,395.26,0.0024378,0.0029265,0.0019492,384.02,485.62,378.31,339.82,0.0026055,0.0028258,0.0029344,0.0033401,0.2,0.2,0.2,0.2,0.00019857,2.3594,0.78548,1.1869,0.66333,1.2575,1.92,1.3106,1.3955,3.0621,0.00034027,3.2226
0.015442,0.020038,0.010847,416.6,418.25,414.94,0.0025732,0.0031133,0.0020332,405.15,506.52,397.43,363.89,0.0027666,0.0029754,0.0031151,0.0035959,0.2,0.2,0.2,0.2,0.00040202,2.3631,0.78556,1.1872,0.66348,1.2583,1.9201,1.3124,1.3945,3.0968,0.00073142,3.1896
0.030549,0.037878,0.023221,446.82,449.64,444.0,0.0027803,0.0034133,0.0021473,436.44,536.49,425.55,400.1,0.0030214,0.0032027,0.0034131,0.004016,0.2,0.2,0.2,0.2,0.00071416,2.37,0.78567,1.188,0.66393,1.2594,1.9198,1.3158,1.3931,3.1409,0.0013455,3.1486
0.060081,0.069803,0.050359,495.38,499.42,491.34,0.003116,0.0039037,0.0023283,485.46,584.37,469.98,457.87,0.0034311,0.0035723,0.0039111,0.0047002,0.2,0.2,0.2,0.2,0.0011777,2.382,0.78578,1.19,0.66504,1.2611,1.918,1.3222,1.3912,3.2068,0.0022366,3.088
0.11621,0.12211,0.11032,566.57,568.65,564.49,0.0036076,0.0046077,0.0026075,553.81,648.57,532.7,539.51,0.0040098,0.0040901,0.0046572,0.0056736,0.2,0.2,0.2,0.2,0.0018908,2.4002,0.78575,1.1937,0.66779,1.2637,1.9113,1.3332,1.3901,3.3163,0.0034051,2.986
0.21934,0.20341,0.23527,660.21,648.09,672.32,0.004255,0.0054864,0.0030236,635.12,707.47,604.59,645.18,0.0047145,0.0046421,0.005642,0.0069472,0.2,0.2,0.2,0.2,0.0034098,2.4254,0.7852,1.1969,0.67334,1.2682,1.8908,1.351,1.3911,3.4681,0.0045462,2.8401
0.39228,0.31312,0.47145,740.72,683.57,797.87,0.0047877,0.0060618,0.0035136,683.53,695.8,638.02,716.94,0.0052071,0.0048276,0.006612,0.0076004,0.2,0.2,0.2,0.2,0.0010305,2.4539,0.78264,1.1893,0.68159,1.2704,1.829,1.3771,1.3923,3.5058,0.010762,2.7862
