Experimental,VH,LH2,LH6
1.2047,1.1854,1.1841,1.1841
1.1989,1.1854,1.1958,1.1963
1.1899,1.1854,1.198,1.1981
1.2035,1.186,1.1996,1.1987
1.1996,1.1869,1.1868,1.1858
1.1905,1.1883,1.1894,1.1875
1.1944,1.1898,1.1905,1.1879
1.2149,1.1916,1.1929,1.189
1.2116,1.1946,1.1967,1.1906
1.2313,1.1985,1.1996,1.1925
1.2362,1.2,1.2034,1.1945
1.2433,1.2051,1.208,1.1954
1.2526,1.2096,1.2161,1.1977
1.2512,1.2172,1.2246,1.2032
1.2644,1.2255,1.234,1.2073
1.2823,1.2344,1.2437,1.212
1.2912,1.2451,1.2562,1.2177
1.3216,1.2597,1.2738,1.2254
1.3578,1.2754,1.2902,1.2343
1.3776,1.3036,1.3247,1.2494
1.4104,1.3301,1.3543,1.2648
1.4558,1.3614,1.3873,1.2848
1.4964,1.3909,1.4189,1.2988
1.5237,1.4211,1.4501,1.3154
